ProductKey;ProductAlternateKey;ProductSubcategoryKey;WeightUnitMeasureCode;SizeUnitMeasureCode;EnglishProductName;SpanishProductName;FrenchProductName;StandardCost;FinishedGoodsFlag;Color;SafetyStockLevel;ReorderPoint;ListPrice;Size;SizeRange;Weight;DaysToManufacture;ProductLine;DealerPrice;_Class;Style;ModelName;LargePhoto;EnglishDescription;FrenchDescription;ChineseDescription;ArabicDescription;HebrewDescription;ThaiDescription;GermanDescription;JapaneseDescription;TurkishDescription;StartDate;EndDate;Status
"24";"FW-1400";"";"";"";"Flat Washer 2";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@91161c7";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"25";"FW-3400";"";"";"";"Flat Washer 9";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@604ed9f0";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"26";"FW-3800";"";"";"";"Flat Washer 4";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@6a4f787b";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"27";"FW-5160";"";"";"";"Flat Washer 3";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@685cb137";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"28";"FW-5800";"";"";"";"Flat Washer 8";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@6a41eaa2";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"29";"FW-7160";"";"";"";"Flat Washer 5";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@7cd62f43";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"30";"FW-9160";"";"";"";"Flat Washer 7";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@6d4b1c02";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"31";"FC-3654";"";"";"";"Fork Crown";"";"";"";"false";"NA";"800";"600";"";"";"NA";"";"1";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@6093dd95";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"32";"FC-3982";"";"";"";"Front Derailleur Cage";"";"";"";"false";"Silver";"800";"600";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@5622fdf";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"33";"FL-2301";"";"";"";"Front Derailleur Linkage";"";"";"";"false";"Silver";"800";"600";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@4883b407";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"34";"GP-0982";"";"";"";"Guide Pulley";"";"";"";"false";"NA";"800";"600";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@7d9d1a19";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"35";"GT-0820";"";"";"";"LL Grip Tape";"";"";"";"false";"NA";"800";"600";"";"";"NA";"";"0";"";"";"L ";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@39c0f4a";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"36";"GT-1209";"";"";"";"ML Grip Tape";"";"";"";"false";"NA";"800";"600";"";"";"NA";"";"0";"";"";"M ";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@1794d431";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"37";"GT-2908";"";"";"";"HL Grip Tape";"";"";"";"false";"NA";"800";"600";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@42e26948";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"38";"HJ-1213";"";"";"";"Thin-Jam Hex Nut 9";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@57baeedf";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"39";"HJ-1220";"";"";"";"Thin-Jam Hex Nut 10";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@343f4d3d";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"40";"HJ-1420";"";"";"";"Thin-Jam Hex Nut 1";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@53b32d7";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"41";"HJ-1428";"";"";"";"Thin-Jam Hex Nut 2";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@5442a311";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"42";"HJ-3410";"";"";"";"Thin-Jam Hex Nut 15";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@548e7350";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"43";"HJ-3416";"";"";"";"Thin-Jam Hex Nut 16";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@1a968a59";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"44";"HJ-3816";"";"";"";"Thin-Jam Hex Nut 5";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@4667ae56";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"45";"HJ-3824";"";"";"";"Thin-Jam Hex Nut 6";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@77cd7a0";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"46";"HJ-5161";"";"";"";"Thin-Jam Hex Nut 3";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@204f30ec";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"47";"HJ-5162";"";"";"";"Thin-Jam Hex Nut 4";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@e25b2fe";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"48";"HJ-5811";"";"";"";"Thin-Jam Hex Nut 13";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@754ba872";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"49";"HJ-5818";"";"";"";"Thin-Jam Hex Nut 14";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@146ba0ac";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"50";"HJ-7161";"";"";"";"Thin-Jam Hex Nut 7";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@4dfa3a9d";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"51";"HJ-7162";"";"";"";"Thin-Jam Hex Nut 8";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@6eebc39e";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"52";"HJ-9080";"";"";"";"Thin-Jam Hex Nut 12";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@464bee09";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"53";"HJ-9161";"";"";"";"Thin-Jam Hex Nut 11";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@f6c48ac";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"54";"HN-1024";"";"";"";"Hex Nut 5";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@13deb50e";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"55";"HN-1032";"";"";"";"Hex Nut 6";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@239963d8";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"56";"HN-1213";"";"";"";"Hex Nut 16";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@3abbfa04";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"57";"HN-1220";"";"";"";"Hex Nut 17";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@57fffcd7";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"58";"HN-1224";"";"";"";"Hex Nut 7";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@31ef45e3";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"59";"HN-1420";"";"";"";"Hex Nut 8";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@598067a5";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"60";"HN-1428";"";"";"";"Hex Nut 9";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@3c0ecd4b";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"61";"HN-3410";"";"";"";"Hex Nut 22";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@14bf9759";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"62";"HN-3416";"";"";"";"Hex Nut 23";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@5f341870";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"63";"HN-3816";"";"";"";"Hex Nut 12";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@553f17c";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"64";"HN-3824";"";"";"";"Hex Nut 13";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@4f7d0008";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"65";"HN-4402";"";"";"";"Hex Nut 1";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@271053e1";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"66";"HN-5161";"";"";"";"Hex Nut 10";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@589838eb";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"67";"HN-5162";"";"";"";"Hex Nut 11";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@42dafa95";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"68";"HN-5400";"";"";"";"Hex Nut 2";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@6500df86";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"69";"HN-5811";"";"";"";"Hex Nut 20";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@402a079c";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"70";"HN-5818";"";"";"";"Hex Nut 21";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@59ec2012";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"71";"HN-6320";"";"";"";"Hex Nut 3";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@4cf777e8";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"72";"HN-7161";"";"";"";"Hex Nut 14";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@2f686d1f";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"73";"HN-7162";"";"";"";"Hex Nut 15";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@3fee9989";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"74";"HN-8320";"";"";"";"Hex Nut 4";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@73ad2d6";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"75";"HN-9161";"";"";"";"Hex Nut 18";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@7085bdee";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"76";"HN-9168";"";"";"";"Hex Nut 19";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@1ce92674";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"77";"HT-2981";"";"";"";"Handlebar Tube";"";"";"";"false";"NA";"800";"600";"";"";"NA";"";"1";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@5700d6b1";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"78";"HT-8019";"";"";"";"Head Tube";"";"";"";"false";"NA";"800";"600";"";"";"NA";"";"1";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@6fd02e5";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"79";"HU-6280";"";"";"";"LL Hub";"";"";"";"false";"NA";"500";"375";"";"";"NA";"";"1";"";"";"L ";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@5bcab519";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"80";"HU-8998";"";"";"";"HL Hub";"";"";"";"false";"NA";"500";"375";"";"";"NA";"";"1";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@e45f292";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"81";"KW-4091";"";"";"";"Keyed Washer";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@5f2108b5";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"82";"LE-1000";"";"";"";"External Lock Washer 3";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@31a5c39e";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"83";"LE-1200";"";"";"";"External Lock Washer 4";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@3f49dace";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"84";"LE-1201";"";"";"";"External Lock Washer 9";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@1e397ed7";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"85";"LE-1400";"";"";"";"External Lock Washer 5";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@490ab905";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"86";"LE-3800";"";"";"";"External Lock Washer 7";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@56ac3a89";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"87";"LE-5160";"";"";"";"External Lock Washer 6";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@27c20538";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"88";"LE-6000";"";"";"";"External Lock Washer 1";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@72d818d1";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"89";"LE-7160";"";"";"";"External Lock Washer 8";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@6e06451e";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"90";"LE-8000";"";"";"";"External Lock Washer 2";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@59494225";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"91";"LI-1000";"";"";"";"Internal Lock Washer 3";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@6e1567f1";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"92";"LI-1200";"";"";"";"Internal Lock Washer 4";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@5cb9f472";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"93";"LI-1201";"";"";"";"Internal Lock Washer 9";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@cb644e";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"94";"LI-1400";"";"";"";"Internal Lock Washer 5";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@13805618";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"95";"LI-3800";"";"";"";"Internal Lock Washer 7";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@56ef9176";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"96";"LI-5160";"";"";"";"Internal Lock Washer 6";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@4566e5bd";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"97";"LI-5800";"";"";"";"Internal Lock Washer 10";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@1ed4004b";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"98";"LI-6000";"";"";"";"Internal Lock Washer 1";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@ff5b51f";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"99";"LI-7160";"";"";"";"Internal Lock Washer 8";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@25bbe1b6";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"100";"LI-8000";"";"";"";"Internal Lock Washer 2";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@5702b3b1";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
