DateKey;FullDateAlternateKey;DayNumberOfWeek;EnglishDayNameOfWeek;SpanishDayNameOfWeek;FrenchDayNameOfWeek;DayNumberOfMonth;DayNumberOfYear;WeekNumberOfYear;EnglishMonthName;SpanishMonthName;FrenchMonthName;MonthNumberOfYear;CalendarQuarter;CalendarYear;CalendarSemester;FiscalQuarter;FiscalYear;FiscalSemester
"20050119";"19-01-2005";"4";"Wednesday";"Miércoles";"Mercredi";"19";"19";"4";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050120";"20-01-2005";"5";"Thursday";"Jueves";"Jeudi";"20";"20";"4";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050121";"21-01-2005";"6";"Friday";"Viernes";"Vendredi";"21";"21";"4";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050122";"22-01-2005";"7";"Saturday";"Sábado";"Samedi";"22";"22";"4";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050123";"23-01-2005";"1";"Sunday";"Domingo";"Dimanche";"23";"23";"5";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050124";"24-01-2005";"2";"Monday";"Lunes";"Lundi";"24";"24";"5";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050125";"25-01-2005";"3";"Tuesday";"Martes";"Mardi";"25";"25";"5";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050126";"26-01-2005";"4";"Wednesday";"Miércoles";"Mercredi";"26";"26";"5";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050127";"27-01-2005";"5";"Thursday";"Jueves";"Jeudi";"27";"27";"5";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050128";"28-01-2005";"6";"Friday";"Viernes";"Vendredi";"28";"28";"5";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050129";"29-01-2005";"7";"Saturday";"Sábado";"Samedi";"29";"29";"5";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050130";"30-01-2005";"1";"Sunday";"Domingo";"Dimanche";"30";"30";"6";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050131";"31-01-2005";"2";"Monday";"Lunes";"Lundi";"31";"31";"6";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050201";"01-02-2005";"3";"Tuesday";"Martes";"Mardi";"1";"32";"6";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050202";"02-02-2005";"4";"Wednesday";"Miércoles";"Mercredi";"2";"33";"6";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050203";"03-02-2005";"5";"Thursday";"Jueves";"Jeudi";"3";"34";"6";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050204";"04-02-2005";"6";"Friday";"Viernes";"Vendredi";"4";"35";"6";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050205";"05-02-2005";"7";"Saturday";"Sábado";"Samedi";"5";"36";"6";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050206";"06-02-2005";"1";"Sunday";"Domingo";"Dimanche";"6";"37";"7";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050207";"07-02-2005";"2";"Monday";"Lunes";"Lundi";"7";"38";"7";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050208";"08-02-2005";"3";"Tuesday";"Martes";"Mardi";"8";"39";"7";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050209";"09-02-2005";"4";"Wednesday";"Miércoles";"Mercredi";"9";"40";"7";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050210";"10-02-2005";"5";"Thursday";"Jueves";"Jeudi";"10";"41";"7";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050211";"11-02-2005";"6";"Friday";"Viernes";"Vendredi";"11";"42";"7";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050212";"12-02-2005";"7";"Saturday";"Sábado";"Samedi";"12";"43";"7";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050213";"13-02-2005";"1";"Sunday";"Domingo";"Dimanche";"13";"44";"8";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050214";"14-02-2005";"2";"Monday";"Lunes";"Lundi";"14";"45";"8";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050215";"15-02-2005";"3";"Tuesday";"Martes";"Mardi";"15";"46";"8";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050216";"16-02-2005";"4";"Wednesday";"Miércoles";"Mercredi";"16";"47";"8";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050217";"17-02-2005";"5";"Thursday";"Jueves";"Jeudi";"17";"48";"8";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050218";"18-02-2005";"6";"Friday";"Viernes";"Vendredi";"18";"49";"8";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050219";"19-02-2005";"7";"Saturday";"Sábado";"Samedi";"19";"50";"8";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050220";"20-02-2005";"1";"Sunday";"Domingo";"Dimanche";"20";"51";"9";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050221";"21-02-2005";"2";"Monday";"Lunes";"Lundi";"21";"52";"9";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050222";"22-02-2005";"3";"Tuesday";"Martes";"Mardi";"22";"53";"9";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050223";"23-02-2005";"4";"Wednesday";"Miércoles";"Mercredi";"23";"54";"9";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050224";"24-02-2005";"5";"Thursday";"Jueves";"Jeudi";"24";"55";"9";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050225";"25-02-2005";"6";"Friday";"Viernes";"Vendredi";"25";"56";"9";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050226";"26-02-2005";"7";"Saturday";"Sábado";"Samedi";"26";"57";"9";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050227";"27-02-2005";"1";"Sunday";"Domingo";"Dimanche";"27";"58";"10";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050228";"28-02-2005";"2";"Monday";"Lunes";"Lundi";"28";"59";"10";"February";"Febrero";"Février";"2";"1";"2005";"1";"3";"2005";"2"
"20050301";"01-03-2005";"3";"Tuesday";"Martes";"Mardi";"1";"60";"10";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050302";"02-03-2005";"4";"Wednesday";"Miércoles";"Mercredi";"2";"61";"10";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050303";"03-03-2005";"5";"Thursday";"Jueves";"Jeudi";"3";"62";"10";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050304";"04-03-2005";"6";"Friday";"Viernes";"Vendredi";"4";"63";"10";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050305";"05-03-2005";"7";"Saturday";"Sábado";"Samedi";"5";"64";"10";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050306";"06-03-2005";"1";"Sunday";"Domingo";"Dimanche";"6";"65";"11";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050307";"07-03-2005";"2";"Monday";"Lunes";"Lundi";"7";"66";"11";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050308";"08-03-2005";"3";"Tuesday";"Martes";"Mardi";"8";"67";"11";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050309";"09-03-2005";"4";"Wednesday";"Miércoles";"Mercredi";"9";"68";"11";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050310";"10-03-2005";"5";"Thursday";"Jueves";"Jeudi";"10";"69";"11";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050311";"11-03-2005";"6";"Friday";"Viernes";"Vendredi";"11";"70";"11";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050312";"12-03-2005";"7";"Saturday";"Sábado";"Samedi";"12";"71";"11";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050313";"13-03-2005";"1";"Sunday";"Domingo";"Dimanche";"13";"72";"12";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050314";"14-03-2005";"2";"Monday";"Lunes";"Lundi";"14";"73";"12";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050315";"15-03-2005";"3";"Tuesday";"Martes";"Mardi";"15";"74";"12";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050316";"16-03-2005";"4";"Wednesday";"Miércoles";"Mercredi";"16";"75";"12";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050317";"17-03-2005";"5";"Thursday";"Jueves";"Jeudi";"17";"76";"12";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050318";"18-03-2005";"6";"Friday";"Viernes";"Vendredi";"18";"77";"12";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050319";"19-03-2005";"7";"Saturday";"Sábado";"Samedi";"19";"78";"12";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050320";"20-03-2005";"1";"Sunday";"Domingo";"Dimanche";"20";"79";"13";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050321";"21-03-2005";"2";"Monday";"Lunes";"Lundi";"21";"80";"13";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050322";"22-03-2005";"3";"Tuesday";"Martes";"Mardi";"22";"81";"13";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050323";"23-03-2005";"4";"Wednesday";"Miércoles";"Mercredi";"23";"82";"13";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050324";"24-03-2005";"5";"Thursday";"Jueves";"Jeudi";"24";"83";"13";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050325";"25-03-2005";"6";"Friday";"Viernes";"Vendredi";"25";"84";"13";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050326";"26-03-2005";"7";"Saturday";"Sábado";"Samedi";"26";"85";"13";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050327";"27-03-2005";"1";"Sunday";"Domingo";"Dimanche";"27";"86";"14";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050328";"28-03-2005";"2";"Monday";"Lunes";"Lundi";"28";"87";"14";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050329";"29-03-2005";"3";"Tuesday";"Martes";"Mardi";"29";"88";"14";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050330";"30-03-2005";"4";"Wednesday";"Miércoles";"Mercredi";"30";"89";"14";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050331";"31-03-2005";"5";"Thursday";"Jueves";"Jeudi";"31";"90";"14";"March";"Marzo";"Mars";"3";"1";"2005";"1";"3";"2005";"2"
"20050401";"01-04-2005";"6";"Friday";"Viernes";"Vendredi";"1";"91";"14";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050402";"02-04-2005";"7";"Saturday";"Sábado";"Samedi";"2";"92";"14";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050403";"03-04-2005";"1";"Sunday";"Domingo";"Dimanche";"3";"93";"15";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050404";"04-04-2005";"2";"Monday";"Lunes";"Lundi";"4";"94";"15";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050405";"05-04-2005";"3";"Tuesday";"Martes";"Mardi";"5";"95";"15";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050406";"06-04-2005";"4";"Wednesday";"Miércoles";"Mercredi";"6";"96";"15";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050407";"07-04-2005";"5";"Thursday";"Jueves";"Jeudi";"7";"97";"15";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050408";"08-04-2005";"6";"Friday";"Viernes";"Vendredi";"8";"98";"15";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050409";"09-04-2005";"7";"Saturday";"Sábado";"Samedi";"9";"99";"15";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050410";"10-04-2005";"1";"Sunday";"Domingo";"Dimanche";"10";"100";"16";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050411";"11-04-2005";"2";"Monday";"Lunes";"Lundi";"11";"101";"16";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050412";"12-04-2005";"3";"Tuesday";"Martes";"Mardi";"12";"102";"16";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050413";"13-04-2005";"4";"Wednesday";"Miércoles";"Mercredi";"13";"103";"16";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050414";"14-04-2005";"5";"Thursday";"Jueves";"Jeudi";"14";"104";"16";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050415";"15-04-2005";"6";"Friday";"Viernes";"Vendredi";"15";"105";"16";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050416";"16-04-2005";"7";"Saturday";"Sábado";"Samedi";"16";"106";"16";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050417";"17-04-2005";"1";"Sunday";"Domingo";"Dimanche";"17";"107";"17";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050418";"18-04-2005";"2";"Monday";"Lunes";"Lundi";"18";"108";"17";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050419";"19-04-2005";"3";"Tuesday";"Martes";"Mardi";"19";"109";"17";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050420";"20-04-2005";"4";"Wednesday";"Miércoles";"Mercredi";"20";"110";"17";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050421";"21-04-2005";"5";"Thursday";"Jueves";"Jeudi";"21";"111";"17";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050422";"22-04-2005";"6";"Friday";"Viernes";"Vendredi";"22";"112";"17";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050423";"23-04-2005";"7";"Saturday";"Sábado";"Samedi";"23";"113";"17";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050424";"24-04-2005";"1";"Sunday";"Domingo";"Dimanche";"24";"114";"18";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050425";"25-04-2005";"2";"Monday";"Lunes";"Lundi";"25";"115";"18";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050426";"26-04-2005";"3";"Tuesday";"Martes";"Mardi";"26";"116";"18";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050427";"27-04-2005";"4";"Wednesday";"Miércoles";"Mercredi";"27";"117";"18";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050428";"28-04-2005";"5";"Thursday";"Jueves";"Jeudi";"28";"118";"18";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050429";"29-04-2005";"6";"Friday";"Viernes";"Vendredi";"29";"119";"18";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050430";"30-04-2005";"7";"Saturday";"Sábado";"Samedi";"30";"120";"18";"April";"Abril";"Avril";"4";"2";"2005";"1";"4";"2005";"2"
"20050501";"01-05-2005";"1";"Sunday";"Domingo";"Dimanche";"1";"121";"19";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050502";"02-05-2005";"2";"Monday";"Lunes";"Lundi";"2";"122";"19";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050503";"03-05-2005";"3";"Tuesday";"Martes";"Mardi";"3";"123";"19";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050504";"04-05-2005";"4";"Wednesday";"Miércoles";"Mercredi";"4";"124";"19";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050505";"05-05-2005";"5";"Thursday";"Jueves";"Jeudi";"5";"125";"19";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050506";"06-05-2005";"6";"Friday";"Viernes";"Vendredi";"6";"126";"19";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050507";"07-05-2005";"7";"Saturday";"Sábado";"Samedi";"7";"127";"19";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050508";"08-05-2005";"1";"Sunday";"Domingo";"Dimanche";"8";"128";"20";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050509";"09-05-2005";"2";"Monday";"Lunes";"Lundi";"9";"129";"20";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050510";"10-05-2005";"3";"Tuesday";"Martes";"Mardi";"10";"130";"20";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050511";"11-05-2005";"4";"Wednesday";"Miércoles";"Mercredi";"11";"131";"20";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050512";"12-05-2005";"5";"Thursday";"Jueves";"Jeudi";"12";"132";"20";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050513";"13-05-2005";"6";"Friday";"Viernes";"Vendredi";"13";"133";"20";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050514";"14-05-2005";"7";"Saturday";"Sábado";"Samedi";"14";"134";"20";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050515";"15-05-2005";"1";"Sunday";"Domingo";"Dimanche";"15";"135";"21";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050516";"16-05-2005";"2";"Monday";"Lunes";"Lundi";"16";"136";"21";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050517";"17-05-2005";"3";"Tuesday";"Martes";"Mardi";"17";"137";"21";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050518";"18-05-2005";"4";"Wednesday";"Miércoles";"Mercredi";"18";"138";"21";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050519";"19-05-2005";"5";"Thursday";"Jueves";"Jeudi";"19";"139";"21";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050520";"20-05-2005";"6";"Friday";"Viernes";"Vendredi";"20";"140";"21";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050521";"21-05-2005";"7";"Saturday";"Sábado";"Samedi";"21";"141";"21";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050522";"22-05-2005";"1";"Sunday";"Domingo";"Dimanche";"22";"142";"22";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050523";"23-05-2005";"2";"Monday";"Lunes";"Lundi";"23";"143";"22";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050524";"24-05-2005";"3";"Tuesday";"Martes";"Mardi";"24";"144";"22";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050525";"25-05-2005";"4";"Wednesday";"Miércoles";"Mercredi";"25";"145";"22";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050526";"26-05-2005";"5";"Thursday";"Jueves";"Jeudi";"26";"146";"22";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050527";"27-05-2005";"6";"Friday";"Viernes";"Vendredi";"27";"147";"22";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050528";"28-05-2005";"7";"Saturday";"Sábado";"Samedi";"28";"148";"22";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050529";"29-05-2005";"1";"Sunday";"Domingo";"Dimanche";"29";"149";"23";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050530";"30-05-2005";"2";"Monday";"Lunes";"Lundi";"30";"150";"23";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050531";"31-05-2005";"3";"Tuesday";"Martes";"Mardi";"31";"151";"23";"May";"Mayo";"Mai";"5";"2";"2005";"1";"4";"2005";"2"
"20050601";"01-06-2005";"4";"Wednesday";"Miércoles";"Mercredi";"1";"152";"23";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050602";"02-06-2005";"5";"Thursday";"Jueves";"Jeudi";"2";"153";"23";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050603";"03-06-2005";"6";"Friday";"Viernes";"Vendredi";"3";"154";"23";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050604";"04-06-2005";"7";"Saturday";"Sábado";"Samedi";"4";"155";"23";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050605";"05-06-2005";"1";"Sunday";"Domingo";"Dimanche";"5";"156";"24";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050606";"06-06-2005";"2";"Monday";"Lunes";"Lundi";"6";"157";"24";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050607";"07-06-2005";"3";"Tuesday";"Martes";"Mardi";"7";"158";"24";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050608";"08-06-2005";"4";"Wednesday";"Miércoles";"Mercredi";"8";"159";"24";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050609";"09-06-2005";"5";"Thursday";"Jueves";"Jeudi";"9";"160";"24";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050610";"10-06-2005";"6";"Friday";"Viernes";"Vendredi";"10";"161";"24";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050611";"11-06-2005";"7";"Saturday";"Sábado";"Samedi";"11";"162";"24";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050612";"12-06-2005";"1";"Sunday";"Domingo";"Dimanche";"12";"163";"25";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050613";"13-06-2005";"2";"Monday";"Lunes";"Lundi";"13";"164";"25";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050614";"14-06-2005";"3";"Tuesday";"Martes";"Mardi";"14";"165";"25";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050615";"15-06-2005";"4";"Wednesday";"Miércoles";"Mercredi";"15";"166";"25";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
"20050616";"16-06-2005";"5";"Thursday";"Jueves";"Jeudi";"16";"167";"25";"June";"Junio";"Juin";"6";"2";"2005";"1";"4";"2005";"2"
